Object,X1,Y1,X2,Y2,Confidence
car,1063,383,1107,420,0.3866365849971771
car,634,336,677,384,0.38482317328453064
car,546,510,635,583,0.85433030128479
car,0,829,162,1034,0.8189201951026917
car,1499,838,1772,1015,0.8119732141494751
car,1624,669,1819,778,0.7773519158363342
car,313,566,439,669,0.7407426834106445
car,1410,626,1552,717,0.7325392961502075
car,394,440,486,513,0.6725285053253174
car,1140,389,1193,426,0.6113719940185547
car,522,380,576,417,0.5999038815498352
car,633,339,675,385,0.46370893716812134
car,1201,432,1261,478,0.45973479747772217
motorcycle,334,806,396,924,0.44508856534957886
car,1223,570,1327,651,0.44380098581314087
car,1298,515,1342,579,0.43214669823646545
motorcycle,341,830,394,926,0.41135677695274353
car,0,741,31,839,0.3547901213169098
car,1061,383,1107,418,0.30217263102531433
car,539,511,630,592,0.8695364594459534
car,0,846,148,1057,0.8435226082801819
car,1403,622,1542,711,0.8095768094062805
car,1482,822,1746,996,0.8013141751289368
car,1614,662,1799,766,0.7860155701637268
car,385,440,475,514,0.7763441801071167
car,301,574,434,676,0.7641576528549194
car,1140,387,1188,423,0.6384023427963257
car,631,340,673,386,0.5318540930747986
car,520,377,573,418,0.5157347321510315
car,1198,434,1259,480,0.4729854166507721
motorcycle,329,863,364,949,0.41956689953804016
car,1062,379,1107,418,0.41150668263435364
car,1299,520,1339,576,0.4014301896095276
motorcycle,326,850,381,947,0.39104798436164856
car,1019,337,1057,378,0.3162471652030945
car,1059,362,1107,417,0.3070931136608124
car,537,517,626,594,0.8586012721061707
car,1604,655,1783,760,0.8163307309150696
car,1468,811,1724,975,0.8113869428634644
car,375,447,471,521,0.7904862761497498
car,0,864,131,1076,0.7693486213684082
car,1399,617,1534,709,0.7556988000869751
car,293,578,427,683,0.7490875720977783
car,1139,390,1188,423,0.6856619715690613
car,1198,428,1253,476,0.5789069533348083
car,629,343,672,387,0.5185021162033081
car,516,379,571,418,0.5013687610626221
motorcycle,311,870,370,969,0.45157310366630554
car,1094,311,1130,345,0.3574102520942688
car,1056,338,1104,412,0.348062127828598
car,1019,335,1057,378,0.33667492866516113
car,1059,362,1107,415,0.30938079953193665
car,1452,795,1701,960,0.8206980228424072
car,533,518,623,602,0.7885310053825378
car,285,582,424,693,0.7720520496368408
car,369,450,466,524,0.7652496695518494
car,0,884,112,1067,0.7639486193656921
car,1589,650,1772,752,0.699431300163269
car,1385,612,1523,701,0.6424765586853027
car,1192,430,1252,474,0.6274163722991943
car,1138,386,1186,421,0.545977771282196
car,1058,372,1105,413,0.5264214277267456
car,513,381,567,419,0.47995832562446594
motorcycle,297,893,356,995,0.4041351079940796
car,1654,657,1771,751,0.4011044204235077
car,1212,561,1264,630,0.3567442297935486
car,627,350,670,388,0.3560011684894562
car,1018,337,1057,377,0.3066377639770508
car,1436,785,1676,940,0.8574059009552002
car,527,526,620,608,0.8030939102172852
car,0,900,94,1076,0.7899845838546753
car,361,452,459,530,0.7668449878692627
car,1380,606,1517,696,0.7595282196998596
car,276,589,416,700,0.7428907155990601
car,1584,649,1756,744,0.7178188562393188
car,1192,427,1251,472,0.6317367553710938
car,509,381,566,424,0.590541660785675
car,1139,383,1186,418,0.5219168663024902
motorcycle,281,906,343,1017,0.4028022289276123
car,1058,371,1104,412,0.3723810315132141
car,1215,557,1266,629,0.36217573285102844
car,1018,334,1058,377,0.3041587471961975
car,1426,771,1658,925,0.8386925458908081
car,524,528,618,615,0.8102068901062012
car,351,454,454,537,0.780295193195343
car,268,594,409,710,0.745431125164032
car,0,924,73,1077,0.741541862487793
car,1375,602,1504,684,0.716901957988739
car,1190,426,1247,469,0.6597182750701904
car,1568,642,1743,737,0.633116602897644
car,509,383,563,425,0.6217580437660217
car,1060,378,1104,411,0.5279523730278015
car,1139,386,1184,417,0.45820289850234985
motorcycle,266,928,333,1046,0.43861544132232666
car,1557,637,1732,730,0.7675566077232361
car,1413,760,1638,912,0.7599027156829834
car,345,460,446,542,0.7456030249595642
car,255,601,402,719,0.7287192344665527
car,520,532,616,617,0.7105690836906433
car,502,382,561,427,0.63896244764328
car,1366,596,1495,676,0.549633800983429
car,0,942,54,1079,0.5483749508857727
car,1058,365,1103,410,0.5452330112457275
car,1189,421,1244,468,0.5158988237380981
car,1138,382,1183,416,0.4340887665748596
person,1642,586,1686,641,0.332275927066803
car,1205,566,1266,617,0.3189212381839752
car,760,333,801,364,0.31804195046424866
car,1057,339,1098,390,0.31597810983657837
car,1551,632,1718,724,0.7750570774078369
car,1401,749,1617,894,0.7698001265525818
car,247,608,395,727,0.7572951316833496
car,516,541,612,628,0.7038512825965881
car,335,463,441,547,0.6842460632324219
car,1364,590,1487,670,0.6617329120635986
car,1188,425,1244,467,0.6522554755210876
car,502,385,558,428,0.5938020348548889
car,1058,370,1102,409,0.5113157629966736
car,1212,547,1266,614,0.44595783948898315
car,1139,382,1182,415,0.41544508934020996
car,1193,544,1266,611,0.3903147280216217
car,760,333,798,365,0.3436976671218872
car,512,548,610,636,0.8175231218338013
car,324,468,436,551,0.7810707688331604
car,1547,626,1704,717,0.7767723202705383
car,234,622,389,741,0.7667673826217651
car,1389,739,1600,880,0.7559191584587097
car,1362,586,1479,666,0.64918452501297
car,499,386,554,429,0.6215835213661194
car,1058,371,1102,408,0.577881395816803
car,1187,421,1244,465,0.5236687064170837
car,1138,381,1180,414,0.49090269207954407
car,757,333,797,366,0.4143049120903015
car,1193,539,1268,607,0.37996214628219604
car,504,552,604,640,0.8008456826210022
car,1377,727,1585,869,0.7830889821052551
car,223,624,382,750,0.7485097646713257
car,317,472,430,558,0.7443637251853943
car,1356,580,1473,657,0.7419127821922302
car,490,390,558,433,0.6668644547462463
car,1539,626,1697,712,0.6048815250396729
car,1187,535,1267,602,0.579363226890564
car,1871,968,1919,1069,0.5751835703849792
car,1057,357,1102,408,0.5705063343048096
car,1181,419,1241,463,0.49352824687957764
car,1135,379,1179,413,0.45223966240882874
car,758,332,797,366,0.3822168707847595
car,1056,341,1097,405,0.3635745048522949
car,1018,329,1057,373,0.31747689843177795
car,213,634,376,761,0.8001523613929749
car,1365,719,1566,857,0.7867810726165771
car,304,475,420,562,0.7652270793914795
car,500,558,600,651,0.7610742449760437
car,1349,577,1462,657,0.7582108974456787
car,1844,952,1919,1069,0.7005756497383118
car,1518,616,1683,713,0.6918841600418091
car,490,389,555,436,0.6864503026008606
car,1058,366,1102,407,0.5970746278762817
car,1185,535,1265,599,0.5890130996704102
car,1182,420,1236,459,0.494489461183548
car,755,332,796,367,0.42994725704193115
car,610,352,658,403,0.3972184360027313
car,1135,381,1180,412,0.39493680000305176
car,1509,611,1673,700,0.7884330749511719
car,299,480,414,566,0.7787020802497864
car,493,563,596,658,0.7653006911277771
car,203,641,367,774,0.7629854083061218
car,1344,575,1456,649,0.7490414977073669
car,1822,939,1918,1065,0.7322337031364441
car,486,390,551,438,0.706322193145752
car,1355,710,1552,844,0.6440727114677429
car,1180,416,1234,458,0.6392103433609009
car,1181,531,1265,597,0.6390004754066467
car,1059,352,1102,404,0.5095696449279785
car,1135,380,1178,412,0.5016055107116699
person,1606,569,1653,622,0.4460184574127197
car,755,332,794,369,0.3879656493663788
car,1216,483,1268,539,0.3001638948917389
car,189,648,360,784,0.8085300326347351
car,491,570,595,667,0.7933254241943359
car,1335,570,1447,646,0.7643071413040161
car,287,483,403,573,0.746336042881012
car,1800,924,1918,1067,0.7438367605209351
car,1178,417,1231,458,0.6898826956748962
car,1508,605,1659,690,0.6466371417045593
car,483,391,546,437,0.6373376846313477
car,1180,529,1266,595,0.6301551461219788
car,1059,352,1102,402,0.5317676663398743
car,1135,380,1176,412,0.5194863080978394
car,1340,708,1537,833,0.45872917771339417
car,753,336,791,370,0.40619057416915894
car,1057,339,1099,402,0.4028182923793793
person,1599,567,1650,622,0.3968764543533325
car,1402,718,1536,833,0.3413974344730377
car,178,658,351,797,0.8188536763191223
car,487,576,591,675,0.8116390109062195
car,1777,912,1919,1069,0.7121354341506958
car,1177,418,1231,457,0.6882358193397522
car,277,490,396,578,0.6741722226142883
car,1177,525,1261,593,0.6562354564666748
car,1060,362,1102,401,0.6555866599082947
car,1335,569,1442,642,0.6482184529304504
car,1501,603,1648,686,0.6291088461875916
car,1335,693,1522,824,0.6244547963142395
car,479,395,541,438,0.6058022379875183
car,1134,378,1176,410,0.5944077968597412
car,1216,480,1269,535,0.47853097319602966
car,751,336,792,369,0.41020336747169495
car,605,372,649,406,0.4024389088153839
car,1057,340,1097,399,0.35135865211486816
car,1757,894,1919,1066,0.843555212020874
car,476,583,586,683,0.8248359560966492
car,269,493,389,586,0.7892903685569763
car,163,666,339,810,0.7754972577095032
car,1177,525,1257,587,0.742839515209198
car,1175,411,1230,454,0.6708494424819946
car,477,392,537,439,0.664592444896698
car,1494,599,1639,682,0.6399283409118652
car,1325,564,1431,634,0.6025417447090149
car,1132,378,1175,410,0.5920418500900269
car,1060,354,1100,400,0.5427103638648987
car,1329,685,1509,812,0.52373868227005
car,604,366,647,406,0.49389389157295227
car,1058,337,1096,399,0.4011174738407135
car,750,341,790,369,0.37165316939353943
car,1215,478,1269,533,0.35272330045700073
car,1736,882,1919,1048,0.8717874884605408
car,469,589,583,691,0.7987844944000244
car,1320,556,1427,631,0.7770876288414001
car,256,498,380,592,0.7744632959365845
car,1172,521,1252,584,0.7626564502716064
car,473,392,534,441,0.7227445244789124
car,1317,675,1495,801,0.7157236933708191
car,1487,590,1631,674,0.7089945673942566
car,1060,354,1101,398,0.6946588158607483
car,151,675,332,821,0.6766428351402283
car,1175,412,1226,453,0.5401152968406677
car,1132,378,1172,410,0.5202080607414246
car,601,370,646,406,0.48368796706199646
car,1057,340,1100,398,0.4574526846408844
car,1219,477,1270,528,0.4110386073589325
person,1585,557,1623,606,0.3176477253437042
car,1018,328,1055,369,0.3044852018356323
car,1716,862,1919,1030,0.8244383335113525
car,1168,519,1251,580,0.8071450591087341
car,466,597,578,701,0.8005282282829285
car,134,685,327,839,0.7849984169006348
car,1314,556,1420,624,0.778902530670166
car,246,503,374,595,0.7616831064224243
car,469,395,531,442,0.7339553236961365
car,1482,588,1619,668,0.6977499723434448
car,1058,349,1099,396,0.5382333397865295
car,1313,668,1483,790,0.528969943523407
car,595,373,645,410,0.4742119312286377
car,1174,411,1226,452,0.472948282957077
car,1132,378,1173,410,0.42290395498275757
car,1208,473,1270,526,0.4075238108634949
person,1580,556,1618,605,0.32191458344459534
car,1699,853,1920,1010,0.8531417846679688
car,121,696,313,852,0.8355957269668579
car,451,598,575,714,0.7764599919319153
car,1166,515,1246,577,0.7682963013648987
car,468,398,528,443,0.7420496344566345
car,1475,583,1609,663,0.6800006031990051
car,1310,551,1414,621,0.6764999032020569
car,231,506,364,602,0.6642590165138245
car,1303,660,1472,780,0.6564890742301941
car,591,372,644,411,0.5238749384880066
car,1056,336,1096,396,0.4847264587879181
car,1200,471,1269,523,0.4710414707660675
car,1132,374,1171,408,0.3217152953147888
car,1682,843,1919,990,0.8478028178215027
car,1164,514,1242,575,0.8128553032875061
car,101,706,301,869,0.7890247106552124
car,463,401,526,445,0.7074881792068481
car,223,512,355,616,0.6984817385673523
car,449,600,572,724,0.6792616248130798
car,1467,576,1598,655,0.651547372341156
car,1306,548,1407,616,0.6376184821128845
car,1057,351,1100,392,0.5727360844612122
car,1298,652,1463,772,0.5697788000106812
car,1054,337,1097,392,0.4729499816894531
car,590,371,643,412,0.46410834789276123
car,1195,467,1266,517,0.4097592532634735
car,1167,410,1222,451,0.3616449534893036
car,1130,378,1171,407,0.35524284839630127
car,743,350,785,379,0.33614736795425415
car,1664,830,1910,976,0.8536347150802612
car,88,718,292,880,0.8174623250961304
car,444,620,567,732,0.803816020488739
car,1162,511,1237,575,0.7614424824714661
car,460,402,524,447,0.6537566781044006
car,1296,642,1447,763,0.6532524228096008
car,1302,539,1399,610,0.6363341212272644
car,208,517,345,624,0.6155955195426941
car,1058,352,1096,393,0.5578618049621582
car,1457,572,1590,653,0.5502583384513855
car,1192,466,1265,519,0.49581488966941833
car,1055,335,1096,392,0.4788455665111542
car,1130,372,1172,405,0.45799973607063293
car,587,374,638,415,0.38145512342453003
car,742,349,781,380,0.37363967299461365
car,1647,819,1888,961,0.8435569405555725
car,71,722,283,899,0.7723256349563599
car,1156,509,1233,572,0.7082318663597107
car,1453,566,1583,648,0.7026914954185486
car,1295,641,1434,753,0.6940722465515137
car,1301,538,1394,607,0.6824784874916077
car,439,629,563,744,0.6634713411331177
car,197,524,339,631,0.6174213886260986
car,458,406,520,450,0.6000396013259888
car,1194,466,1261,517,0.46661871671676636
car,1054,348,1097,391,0.4563307762145996
car,741,350,782,380,0.4274940490722656
car,585,376,635,417,0.42263031005859375
car,1052,332,1096,391,0.3846895396709442
car,1165,409,1220,446,0.3203595280647278
car,1630,808,1862,945,0.8396365642547607
car,53,723,273,916,0.7781187295913696
car,1154,506,1232,567,0.7757647633552551
car,182,526,333,635,0.7665425539016724
car,428,635,556,753,0.7555829286575317
car,1442,565,1573,644,0.6775230169296265
car,1295,535,1387,603,0.6582761406898499
car,1294,630,1422,743,0.5838527679443359
car,454,407,515,452,0.5536500215530396
car,1190,462,1260,515,0.5254351496696472
car,1054,348,1097,389,0.46014606952667236
car,582,379,631,418,0.4593174457550049
car,740,350,780,381,0.43644702434539795
car,1165,411,1220,446,0.34926846623420715
car,1052,333,1097,389,0.3267294466495514
car,1616,794,1841,931,0.8275887966156006
car,421,645,550,767,0.8177087306976318
car,1152,502,1228,561,0.7859980463981628
car,33,734,260,939,0.7145220041275024
car,1439,561,1564,634,0.6752225160598755
car,1297,533,1385,600,0.6590953469276428
car,171,531,320,643,0.6350043416023254
car,449,409,510,454,0.5609806776046753
car,1183,459,1255,514,0.5310894846916199
car,1300,643,1414,734,0.5256739258766174
car,737,349,779,382,0.444799542427063
car,1054,344,1097,388,0.4435799717903137
car,580,378,631,419,0.3743438720703125
car,1129,370,1167,399,0.36961743235588074
car,344,424,384,466,0.3039456307888031
car,1433,558,1554,631,0.7884822487831116
car,1602,785,1821,918,0.7798064351081848
car,415,652,547,778,0.7335029244422913
car,1150,501,1224,557,0.6973022222518921
car,1299,530,1377,595,0.6540404558181763
car,13,757,249,955,0.5836265683174133
car,157,540,306,652,0.5734111070632935
car,444,409,508,455,0.5648496747016907
car,1297,627,1405,728,0.5512465238571167
car,578,381,628,420,0.49463650584220886
car,1193,458,1248,509,0.44351524114608765
car,1052,336,1096,387,0.42944782972335815
car,1128,371,1167,399,0.3839358389377594
car,1163,402,1213,442,0.34753820300102234
car,1589,774,1797,905,0.8231725096702576
car,403,663,544,794,0.7833588719367981
car,1145,500,1220,554,0.7698990702629089
car,1426,550,1547,626,0.6906386017799377
car,145,549,296,660,0.6838583946228027
car,439,410,503,460,0.6746355891227722
car,1298,530,1370,589,0.6487826108932495
car,1296,618,1396,720,0.5482306480407715
car,0,777,237,973,0.5312523245811462
car,572,383,625,425,0.4936297535896301
car,1052,337,1095,386,0.42549800872802734
car,1180,454,1246,506,0.4057161509990692
car,1126,370,1163,397,0.3751894533634186
car,733,352,775,387,0.33793288469314575
car,1893,729,1919,786,0.3173324465751648
car,1574,766,1780,890,0.814932107925415
car,0,790,224,999,0.7100046873092651
car,433,416,502,463,0.7043555974960327
car,1418,548,1541,625,0.7020291686058044
car,1147,495,1219,551,0.6993201971054077
car,396,670,541,808,0.6453705430030823
car,1299,526,1367,585,0.6237965822219849
car,1297,626,1385,713,0.5245150327682495
car,128,551,285,672,0.5030333399772644
truck,127,551,285,675,0.46783390641212463
car,1161,398,1210,436,0.44061073660850525
car,1127,366,1165,397,0.43171805143356323
car,1875,710,1919,779,0.41550111770629883
car,1184,453,1239,501,0.39663562178611755
car,733,351,776,387,0.3465469181537628
car,570,384,625,428,0.3277699947357178
car,1053,338,1095,386,0.30219537019729614
car,1562,756,1761,879,0.803357720375061
car,1414,544,1535,621,0.7517834305763245
car,430,415,499,465,0.7438899874687195
car,1141,491,1218,549,0.7212424278259277
car,0,807,212,1021,0.7173439860343933
car,387,680,532,821,0.7006758451461792
car,109,556,276,681,0.5948538184165955
car,1298,522,1361,583,0.5300480723381042
car,731,354,771,388,0.4833528399467468
car,1293,634,1375,706,0.477883905172348
car,1861,701,1919,781,0.4477453827857971
car,1161,398,1208,438,0.4012409448623657
car,1176,450,1236,500,0.37894895672798157
car,567,388,621,429,0.3282974362373352
car,1125,363,1164,396,0.3259246051311493
person,1530,532,1560,583,0.3156488239765167
car,0,818,197,1046,0.8292661905288696
car,1549,746,1745,869,0.7908846139907837
car,427,415,496,467,0.7496891617774963
car,1138,487,1212,545,0.7176430821418762
car,1406,542,1526,614,0.7056667804718018
car,377,692,527,834,0.6897070407867432
car,1887,840,1919,909,0.6485356688499451
car,564,388,619,431,0.5899263024330139
car,1298,523,1355,579,0.5200976133346558
car,92,566,260,691,0.5079718232154846
car,729,356,768,389,0.49063244462013245
car,1124,366,1163,397,0.467070609331131
car,1159,400,1206,438,0.43985968828201294
car,1295,643,1363,703,0.4314822256565094
car,1173,449,1235,500,0.3854828476905823
truck,92,566,261,691,0.36288169026374817
car,1054,337,1092,384,0.32471805810928345
car,1536,737,1728,854,0.8431635499000549
car,1137,487,1209,542,0.8052942156791687
car,422,416,494,470,0.779937744140625
car,0,834,186,1067,0.7722993493080139
car,1870,831,1919,904,0.753318727016449
car,79,572,252,698,0.6943915486335754
car,368,704,523,851,0.670040488243103
car,1404,540,1517,609,0.6344961524009705
car,729,356,768,390,0.5167152881622314
car,563,389,615,433,0.515870213508606
car,1123,363,1162,395,0.5149143934249878
car,1171,448,1232,497,0.4675029218196869
car,1227,594,1353,695,0.41698163747787476
car,1054,342,1092,384,0.41640910506248474
car,1161,400,1203,437,0.3859998881816864
car,1299,518,1346,571,0.37705692648887634
car,580,348,626,380,0.31000182032585144
car,1523,728,1706,844,0.8723843693733215
car,1136,484,1206,539,0.8392940163612366
car,419,418,492,472,0.778187096118927
car,0,852,166,1078,0.7462594509124756
car,1850,820,1919,895,0.6895373463630676
car,559,392,611,435,0.6752591729164124
car,359,715,515,869,0.6359970569610596
car,1397,535,1511,605,0.632771372795105
car,58,577,239,712,0.5918566584587097
car,1055,340,1093,383,0.589328944683075
car,1300,511,1345,572,0.5690803527832031
car,726,359,765,390,0.5242652893066406
car,1223,591,1342,683,0.5180745124816895
car,1175,446,1230,495,0.5009307861328125
car,1122,361,1163,394,0.47527921199798584
car,1161,400,1202,435,0.46389296650886536
car,232,454,302,493,0.31804877519607544
car,581,348,624,379,0.31334343552589417
car,1512,719,1696,834,0.8425642251968384
car,1135,482,1202,535,0.8219589591026306
car,0,869,149,1078,0.7845351099967957
car,416,420,486,473,0.7101389765739441
car,1833,811,1919,897,0.70238196849823
car,1394,533,1502,602,0.6959084868431091
car,41,588,229,725,0.6798413991928101
car,347,725,508,883,0.6312294006347656
car,556,397,610,437,0.6162058115005493
car,1053,343,1092,382,0.5807730555534363
car,724,359,764,389,0.5533245205879211
car,1160,400,1201,432,0.4493577182292938
car,1172,446,1228,492,0.3859621584415436
car,579,347,623,381,0.38471367955207825
car,1123,365,1162,392,0.36896461248397827
car,1299,515,1341,569,0.35541847348213196
car,1229,593,1340,674,0.35068580508232117
car,1294,600,1338,679,0.33958908915519714
car,1259,595,1338,678,0.3091978430747986
car,1499,714,1679,823,0.8460215926170349
car,1130,476,1196,533,0.81580650806427
car,22,594,213,737,0.803333044052124
car,1388,530,1495,598,0.7438967227935791
car,1814,802,1919,902,0.712494432926178
car,334,739,504,907,0.6951321363449097
car,411,422,482,472,0.6842174530029297
car,0,886,136,1080,0.6728103160858154
car,1051,336,1093,380,0.6066818833351135
car,553,397,608,442,0.5796931982040405
car,722,358,763,392,0.5625055432319641
car,1157,398,1200,430,0.5499807596206665
car,1121,361,1159,391,0.5370408892631531
car,1170,442,1225,489,0.4678391218185425
car,1215,582,1334,672,0.4444456100463867
car,1299,520,1338,568,0.3492472171783447
car,1492,703,1665,813,0.8140796422958374
car,1382,527,1489,598,0.733883798122406
car,1798,792,1919,904,0.7170745730400085
car,1130,476,1194,530,0.6913359761238098
car,0,904,116,1079,0.6764612793922424
car,405,424,478,475,0.6618285179138184
car,719,359,764,396,0.6098811626434326
car,325,753,499,924,0.5202459096908569
car,4,598,199,751,0.5162234306335449
car,549,397,605,442,0.47127196192741394
car,1118,363,1158,391,0.4590302109718323
car,1153,393,1201,430,0.44523459672927856
car,1158,400,1199,429,0.4228641986846924
car,1052,332,1092,380,0.42110326886177063
car,1164,438,1223,485,0.4026363492012024
car,575,347,618,382,0.32886213064193726
car,0,925,97,1079,0.7805728316307068
car,1481,696,1650,802,0.7604507207870483
car,0,611,186,757,0.7577513456344604
car,1128,476,1191,529,0.7440378665924072
car,1375,526,1480,592,0.7348515391349792
car,1782,781,1919,909,0.7342151403427124
car,401,425,473,481,0.7055637836456299
car,543,397,604,443,0.686191976070404
car,311,765,491,942,0.6453017592430115
car,718,361,761,395,0.6224212050437927
car,1152,393,1200,429,0.5582166910171509
car,1117,357,1158,389,0.39072757959365845
car,1048,327,1091,377,0.3609112799167633
car,573,346,618,385,0.318073570728302
car,1767,772,1918,898,0.8106484413146973
car,1472,687,1633,791,0.7794713973999023
car,0,621,172,774,0.779133141040802
car,1368,519,1473,585,0.7735621929168701
car,541,399,603,448,0.7494573593139648
car,1127,472,1190,525,0.7484068274497986
car,299,779,482,966,0.7291208505630493
car,0,946,78,1077,0.6867762207984924
car,396,428,471,484,0.6749935150146484
car,716,361,762,396,0.642386257648468
car,1152,391,1200,429,0.4769427180290222
car,1047,326,1091,376,0.4270375669002533
car,571,350,616,387,0.33841997385025024
car,1463,680,1624,785,0.8211244940757751
car,1753,763,1919,891,0.7830920219421387
car,1128,469,1192,523,0.7572343349456787
car,393,429,466,485,0.6943850517272949
car,537,403,597,450,0.6925857067108154
car,281,793,478,988,0.675798237323761
car,1365,518,1467,582,0.6629484295845032
car,711,364,757,398,0.6504694223403931
car,0,627,156,789,0.647354006767273
car,0,969,54,1080,0.5808977484703064
car,1048,328,1092,374,0.5451601147651672
car,1150,392,1196,427,0.4979359805583954
car,1191,562,1256,639,0.3315328061580658
car,569,351,615,389,0.31255173683166504
car,1740,752,1919,880,0.8353268504142761
car,387,430,461,487,0.7769632339477539
car,1121,466,1190,520,0.7723392248153687
car,1452,674,1615,776,0.7381898164749146
car,1361,516,1458,576,0.7280024886131287
car,268,809,468,1013,0.7218437194824219
car,535,402,595,452,0.7020245790481567
car,710,362,756,401,0.6009602546691895
car,0,639,138,800,0.5909198522567749
car,1145,390,1194,425,0.49220532178878784
car,1049,334,1091,373,0.46662795543670654
car,1187,548,1264,636,0.4117133617401123
car,737,324,769,353,0.3351975977420807
car,567,356,613,389,0.3025345206260681
car,251,826,460,1042,0.8466808199882507
car,1726,745,1919,870,0.8026110529899597
car,388,435,459,490,0.7472978234291077
car,1358,513,1454,573,0.7434311509132385
car,1122,465,1187,517,0.7092298269271851
car,0,644,124,821,0.6811630129814148
car,530,404,593,454,0.6799692511558533
car,1146,389,1192,426,0.6534884572029114
car,1437,672,1604,765,0.6394342184066772
car,708,366,756,404,0.5491852164268494
car,563,355,613,390,0.5145003795623779
car,1182,542,1267,634,0.47797247767448425
car,1049,332,1091,371,0.45231905579566956
car,1710,737,1919,861,0.8237568140029907
car,373,437,455,494,0.8074130415916443
car,1351,509,1448,573,0.7865085005760193
car,1432,655,1586,758,0.7831993103027344
car,233,842,452,1070,0.7724113464355469
car,1117,462,1182,514,0.7612097859382629
car,528,410,587,457,0.7598437666893005
car,707,366,756,404,0.6653912663459778
car,562,358,610,392,0.5614655613899231
car,1144,389,1191,424,0.5259521007537842
car,1052,339,1092,370,0.5073582530021667
car,0,659,102,834,0.47013434767723083
car,1181,547,1267,628,0.43159329891204834
car,1178,550,1223,616,0.41865697503089905
car,1227,484,1269,540,0.34633681178092957
car,1118,352,1157,387,0.31607872247695923
car,524,410,586,459,0.8252814412117004
car,369,437,451,496,0.8233624696731567
car,1697,727,1918,849,0.8131877183914185
car,1424,652,1574,754,0.7667660713195801
car,1347,507,1443,570,0.7485584616661072
car,1116,462,1180,512,0.7080132961273193
car,214,862,443,1079,0.6998817920684814
car,1176,543,1266,623,0.6802635192871094
car,1049,341,1092,369,0.5519466400146484
car,561,357,605,391,0.5508900880813599
car,0,672,86,820,0.5194128155708313
car,707,370,754,405,0.4969058632850647
car,1141,389,1190,422,0.46673139929771423
car,230,478,276,524,0.44033434987068176
car,1224,484,1269,539,0.3491462171077728
car,520,414,582,462,0.8976338505744934
car,1681,722,1908,839,0.8317973613739014
car,368,442,445,499,0.804085910320282
car,1415,648,1564,745,0.7752001881599426
car,1344,503,1436,566,0.7536529302597046
car,1172,540,1266,620,0.734965980052948
car,1119,461,1180,510,0.6725541353225708
car,1048,342,1092,369,0.6049540042877197
